Exodus 6:4|לכם לא נאמר אלא להם מכאן לתחיית המתים מן התורה|סנהדרין צ:.
Exodus 9:10|השחין היה לח מבחוץ ויבש מבפנים, שחין – יבש מבפנים, אבעבעת פרח – לח מבחוץ|בבא קמא פ:, בכורות מא.
Exodus 9:27|בסוף מסכת ידים מובא הפסוק "מי ה' אשר אשמע בקלו" (ה, ב), ע"מ לסיים בפס' טוב, המשנה אומרת וכשלקה פרעה, אמר ה' הצדיק|משנה ידים ד, ח
Exodus 9:31|נאמר אביב כאן ונאמר במנחת הביכורים, מה כאן שעורים אף שם שעורים|מנחות סח:, פד.
Exodus 9:33|הרואה את המקום שנעשה נס אבני אלגביש חייב להודות לה'. אלגביש - אבנים שעמדו באויר על גב [בגלל] איש, וירדו על גב איש. עמדו על גב איש — זה משה שנאמר "והאיש משה" (יב, ג). ירדו על גב איש – זה יהושע שנאמר "יהושע בן נון איש אשר רוח בו" (במדבר כז, יח) ונאמר "וה' השליך עליהם אבנים גדלות" (יהושע י, יא)|ברכות נד:
Exodus 10:25|נאמר "ויחגו לי במדבר" (ה, א), יכולנו לחשוב חג בלי קרבן, קמ"ל שלא, שנאמר גם אתה תתן בידנו זבחים ועלת|חגיגה י:
Exodus 10:25|אסור לקחת קרבנות מהגוים, אך קשה, שנאמר גם אתה תתן בידנו זבחים ועלת|עבודה זרה כד.
Exodus 10:25|בני נח לא הקריבו שלמים, אך קשה שהרי עוד לפני מתן תורה הקריבו זבחים – שלמים|זבחים קטז.
Exodus 11:2|אין נא אלא לשון בקשה. אמר ה' למשה בבקשה ממך לך ואמור להם לישראל בבקשה מכם שאלו ממצרים כלי כסף וכלי זהב, שלא יאמר אברהם "ועבדום וענו אותם" (בראשית טו, יג) קיים בהם, "ואחרי כן יצאו ברכוש גדול" (שם) לא קיים בהם. אמרו לו הלואי שנצא בעצנו. משל לאדם שהיה חבוש בבית האסורים, והיו אומרים לו בני אדם מוציאין אותך למחר מבית האסורין ונותנין לך ממון הרבה, ואומר להם: בבקשה מכם הוציאוני היום ואיני מבקש כלום|ברכות ט.-ט:
Exodus 11:4|דוד ידע מתי בדיוק חצות הלילה, אך קשה, שאפילו משה לא ידע, שנאמר כחצות|ברכות ג:
Exodus 11:4|משה ידע מתי חצות, הוא אמר כחצות שמא יטעו אצטגניני פרעה בחישוב חצות הלילה ויאמרו משה בדאי הוא|ברכות ד.
Exodus 11:7|הרואה כלב בחלום, ישכים ויאמר ולכל בני ישראל לא יחרץ כלב לשנו לפני שיתגשם הפסוק "והכלבים עזי נפש" (ישעיהו נו, יא)|ברכות נו:
Exodus 11:8|לעולם תהא אימת מלכות עליך שמשה אמר לפרעה וירדו כל עבדיך אך לא אתה|זבחים קב.
Exodus 11:8|כל מקום שכתוב בתורה חרי אף, כתוב גם איך זה מתבטא, אך קשה שהרי כאן זה לא התבטא, מכאן שמשה סטר לפרעה ויצא|זבחים קב., מנחות צח.
Exodus 12:1|עדות החודש מותרת בקרובים, שנאמר ויאמר ה' אל משה ואל אהרן... החדש הזה לכם שתהא כשרה במשה ואהרן שהיו אחים|ראש השנה כב.
Exodus 12:1|חייבים שלושה דיינים לעדות החודש, שנאמר ויאמר ה' אל משה ואל אהרן... החדש הזה לכם, וכיון שאין עושים בית דין זוגי, מוסיפים עוד אחד|ראש השנה כה:
Exodus 12:2|כל המברך על החדש בזמנו כאילו מקבל פני שכינה, אצלנו כתוב הזה ונאמר על קבלת השכינה בים סוף "זה אלי ואנוהו" (טו, ב)|סנהדרין מב.
Exodus 12:2|שלשה דברים היו קשים למשה להבינם בדיוק, עד שהראה לו הקדוש ברוך הוא באצבעו. מעשה המנורה, מולד הירח שנאמר החדש הזה, וזיהוי השרצים האסורים|מנחות כט.
Exodus 12:2|חזקיהו עיבר את השנה עם ניסן במקום אדר, אך קשה, הרי כתוב החדש הזה, זה ניסן ואין ניסן אחר|ברכות י:, סנהדרין יב:
Exodus 12:2|עם ישראל הגיעו להר סיני בראש חדש סיון, נאמר אצלנו החדש הזה ונאמר "ביום הזה באו מדבר סיני" (יט, א)|שבת פו:
Exodus 12:2|ר' אלעזר בן ערך הגיע לפריגיה ודיומסת [שלא למדו תורה], ושכח תלמודו. כשחזר למקומו, בא לקרוא החדש הזה לכם ושכח תלמודו עד כדי כך, שקרא "החרש היה לבם". התפללו עליו חכמים ונזכר|שבת קמז:
Exodus 12:2|דורשים בהלכות החג שבועיים לפני החג, שמשה מזהיר על הפסח בראש חדש, נאמר ראש חדשים ונאמר "ויקחו להם איש שה לבית אבת" (ג)|פסחים ו:
Exodus 12:2|ניסן זהו החדש הראשון, נאמר בפסח ראש חדשים ראשון הוא לכם לחדשי השנה... בעשור לחדש הזה ויקחו להם, וגם "שמור את חדש האביב" (דברים טז, א) באיזה חדש יש אביב? ניסן|ראש השנה ז.
Exodus 12:2|אסור לעבר החדש לצרכי ציבור, שנאמר החדש הזה, כזה ראה וקדש|ראש השנה כ.
Exodus 12:2|ראה פס' א'|ראש השנה כב.
Exodus 12:2|ראה פס' א'|ראש השנה כה:
Exodus 12:2|בשבת הרביעית בחדש אדר קוראים את החדש הזה לכם|מגילה כט., ל.
Exodus 12:2|מתחילים לספור שמיטות מתשרי, מגזרה שווה "שנה" (ויקרא כה, ד) "שנה" (דברים יא, יב), אך קשה, למה לא ללמוד מניסן שנאמר בו שנה|ראש השנה ח:, ט.
Exodus 12:2|מתחילים לתרום מחצית השקל למקדש בניסן מגזרה שווה "שנה" (במדבר כח, יד) שנה|ראש השנה ז.
Exodus 12:3|בניגוד לפסח מצרים, בפסח לדורות לא צריך לקחת את קרבן הפסח בי' ניסן שנאמר בעשור לחודש הזה ויקחו, הזה ולא אחר|פסחים צו.
Exodus 12:3|ראה פס' ב'|פסחים ו:
Exodus 12:3|ראה פס' ב'|ראש השנה ז.
Exodus 12:3|נאמר ויקחו להם איש שה לבית אבת מכאן שאיש יכול לבצע קנין, ולא קטן|פסחים צא:
Exodus 12:3|נאמר לבית אבת, מכאן שניתן למנות שליח לקדשים|קידושים מב.
Exodus 12:3|כמו שבקרבן פסח רק שה כשר, כך גם בפטר חמור|בכורות יב.
